gene,pLI
ASIC5,2.26E-07
RXFP1,3.07E-07
NPY1R,0.651605219
FNIP2,0.997777002
FSTL5,0.002562607
GLRB,0.02692812
PPID,1.71E-06
FAM198B,2.50E-06
ETFDH,1.63E-07
CTSO,6.35E-06
C4orf46,0.259003018
PDGFC,0.969061049
TMEM144,7.82E-08
PALLD,6.64E-05
CPE,0.997846906
ANXA10,1.28E-08
MARCH1,0.218777255
CBR4,8.22E-06
TRIM61,0.672137879
DDX60L,8.17E-30
SH3RF1,0.046395528
FAM218A,0.001826325
TRIM60,2.87E-07
SPOCK3,0.495144484
TMA16,0.029470024
TKTL2,8.54E-05
DDX60,3.67E-10
MSMO1,0.137137231
TLL1,0.327496391
KLHL2,0.998554857
NEK1,4.22E-12
CLCN3,0.993264929
TMEM192,0.004698135
GALNT7,0.000181549
HMGB2,0.907849743
ASB5,1.83E-11
SCRG1,0.034529027
HAND2,0.351297752
WDR17,7.02E-16
GLRA3,0.043752559
CEP44,0.000569745
SPCS3,0.697040879
MFAP3L,0.910529966
VEGFC,0.115230709
AADAT,0.250802295
HPGD,0.003282508
SAP30,0.228585001
GALNTL6,0.001655681
GPM6A,0.952961852
ADAM29,4.69E-07
C4orf27,0.000423307
SPATA4,0.000481542
FBXO8,0.836833762
WWC2,2.48E-05
IRF2,0.382047181
ENPP6,6.11E-07
CDKN2AIP,0.987251416
RP11-389E17.1,0.010372263
CASP3,0.184808405
RWDD4,0.482983522
ACSL1,0.091837331
NEIL3,3.55E-07
CLDN22,0.000437371
TRAPPC11,0.000208772
TENM3,0.999937944
CLDN24,0.000259988
PRIMPOL,2.79E-13
ING2,0.283379994
AGA,0.000640804
MLF1IP,0.000144352
DCTD,1.64E-05
STOX2,0.963216442
MTNR1A,0.003032392
HELT,0.047397709
ANKRD37,0.005704852
KLKB1,4.76E-11
FAM149A,0.00644453
SNX25,5.35E-05
KIAA1430,0.00107218
TLR3,0.001211245
CCDC110,1.35E-08
PDLIM3,9.37E-08
RP11-279O9.4,0.086037532
F11,1.91E-22
SLC25A4,0.483364233
LRP2BP,1.10E-06
SORBS2,0.088806284
UFSP2,6.11E-06
CYP4V2,0.000200713
TRIML1,9.17E-11
ZFP42,0.004753298
FAT1,1.78E-10
FRG1,3.67E-06
TRIML2,8.26E-10
FRG2,0.431237853
PDCD6,0.714212209
ZDHHC11B,0.043228373
SLC6A19,8.52E-18
PLEKHG4B,7.81E-20
AHRR,6.76E-05
LRRC14B,3.31E-09
TRIP13,0.968635141
ZDHHC11,5.60E-11
SDHA,9.39E-06
SLC9A3,0.988153998
EXOC3,0.755230038
SLC12A7,8.45E-11
CEP72,1.06E-09
BRD9,0.249187874
C5orf55,0.053082062
TPPP,0.447860539
NKD2,2.36E-05
CCDC127,0.020957492
PAPD7,0.998369134
CLPTM1L,0.311319339
C5orf49,0.346800141
NSUN2,0.961845836
SLC6A18,1.67E-22
NDUFS6,0.000262201
ADAMTS16,0.001086503
C5orf38,0.162071502
SRD5A1,1.82E-06
IRX1,0.002310654
TERT,0.866151189
KIAA0947,0.99999761
MRPL36,0.254818113
IRX2,0.648697597
MED10,0.039721058
LPCAT1,0.813682374
IRX4,0.253769011
ADCY2,0.999995486
SLC6A3,0.997036902
TAS2R1,0.24158113
TRIO,1
CTNND2,0.999999952
ROPN1L,0.001635436
DNAH5,5.79E-37
ANKH,0.167376866
CMBL,0.007765304
MTRR,4.11E-07
CCT5,0.998786782
FASTKD3,2.49E-10
MARCH11,0.002466243
FAM173B,2.44E-07
FBXL7,0.200106852
SEMA5A,0.000979594
MARCH6,0.999995976
FAM105A,2.33E-07
DAP,0.000324904
FAM105B,0.969681278
MTMR12,0.997884435
AC026703.1,0.451936608
SUB1,0.800760314
CDH6,0.980834799
PDZD2,0.999645171
TARS,1.19E-09
BASP1,0.539222353
CDH18,0.46392646
CDH9,0.99248359
FAM134B,0.005651396
PRDM9,1.95E-22
CDH10,0.309152977
ZFR,0.99999967
CDH12,0.001451194
ZNF622,0.088803853
GOLPH3,0.014365491
MYO10,0.00396952
NPR3,0.003099263
DROSHA,0.996399648
C5orf22,0.169565363
ADAMTS12,1.54E-11
SKP2,0.994258761
SLC45A2,7.86E-05
C1QTNF3,0.000296344
PRLR,0.916128016
NADK2,0.907647887
CAPSL,0.000440615
IL7R,3.72E-06
TTC23L,2.22E-09
UGT3A1,5.21E-10
RXFP3,2.31E-11
AMACR,0.125255655
UGT3A2,2.94E-10
LMBRD2,0.014565218
AGXT2,4.67E-15
RAI14,0.487656416
RAD1,0.000186646
BRIX1,0.981126894
DNAJC21,1.45E-05
SPEF2,2.03E-16
PTGER4,0.896912957
NUP155,0.990594276
PRKAA1,0.035101034
TTC33,0.022618545
SLC1A3,0.432519796
C9,6.82E-17
DAB2,0.980417114
RICTOR,1
EGFLAM,9.38E-10
RANBP3L,1.13E-10
NIPBL,1
C5orf42,6.32E-19
FYB,0.792005859
LIFR,0.001006843
RPL37,0.577671288
CARD6,1.46E-16
GDNF,0.698672292
OSMR,3.10E-11
WDR70,0.802235273
SEPP1,3.00E-08
GHR,0.000232177
FBXO4,7.11E-05
MROH2B,1.29E-26
NNT,0.999550477
C5orf28,1.49E-05
C5orf51,0.0038889
NIM1,5.81E-09
ANXA2R,3.08E-06
C7,1.26E-11
ZNF131,0.999460222
CCL28,0.281065701
HMGCS1,0.972848684
C5orf34,9.91E-11
PAIP1,0.994278972
C6,1.20E-14
PLCXD3,0.048488739
OXCT1,0.267382737
FGF10,0.858814552
HCN1,0.953138503
NDUFS4,0.004164996
HSPB3,0.000440374
PARP8,0.119242934
SNX18,0.146597452
ITGA1,0.002375685
CDC20B,1.44E-11
MOCS2,0.04045185
ESM1,0.026176218
GZMA,3.24E-07
EMB,6.39E-05
FST,0.963797332
PELO,0.590624889
MRPS30,5.58E-05
ISL1,0.60613579
GZMK,0.000569041
ARL15,0.008866422
ITGA2,9.23E-09
IL31RA,2.13E-15
DHX29,0.003527316
SLC38A9,0.755167399
SETD9,0.000533498
PPAP2A,0.799472952
ACTBL2,6.02E-10
MIER3,0.99921643
PLK2,0.998863615
GPBP1,0.975851112
ANKRD55,2.44E-07
IL6ST,0.997842778
CCNO,0.040710125
DDX4,0.998516038
SKIV2L2,0.725400925
GAPT,0.001630933
GPX8,0.019066229
MAP3K1,0.998072118
FAM159B,0.101184302
KIF2A,0.999339689
SMIM15,0.228320204
ZSWIM6,0.330184634
PDE4D,0.983199686
RGS7BP,0.978832468
RNF180,5.17E-05
IPO11,0.996456955
RAB3C,0.015496264
C5orf64,0.04110091
ERCC8,8.57E-09
HTR1A,0.926694463
NDUFAF2,3.86E-07
DIMT1,1.47E-05
DEPDC1B,2.29E-05
ELOVL7,0.001560922
TRAPPC13,0.765500289
MRPS36,0.746558797
NLN,3.60E-07
SGTB,0.991633523
CWC27,1.02E-05
PIK3R1,0.998240488
TRIM23,0.066967184
ADAMTS6,0.998800473
SREK1,0.988373472
CENPK,1.66E-08
MAST4,0.008130239
SREK1IP1,0.656016357
ERBB2IP,0.993356912
CCNB1,0.023969445
CD180,1.35E-05
PPWD1,0.031785775
CENPH,7.53E-05
SLC30A5,0.230512232
ZNF366,0.504819504
CDK7,0.001618525
RAD17,0.007697435
SMN1,0.100971869
GTF2H2,0.724561789
MCCC2,4.09E-08
TAF9,5.74E-05
OCLN,0.49102545
MAP1B,0.999986248
NAIP,0.000869318
CARTPT,0.420347163
CCDC125,8.05E-06
SMN2,0.095255983
BDP1,4.37E-11
MRPS27,0.028586687
MARVELD2,4.23E-11
GTF2H2C,0.891905532
PTCD2,3.49E-08
TNPO1,0.999998701
UTP15,0.985835503
ARHGEF28,1.83E-10
ENC1,0.879896897
GFM2,1.23E-08
FCHO2,0.999038489
POLK,6.00E-07
BTF3,0.90437154
COL4A3BP,0.979474243
NSA2,0.686235241
TMEM174,0.015255886
HEXB,1.49E-05
ANKRA2,0.003505038
TMEM171,0.000165604
HMGCR,0.999836645
GCNT4,0.021235042
FAM169A,0.998576225
F2R,0.041238488
IQGAP2,4.10E-15
LHFPL2,0.015014468
POC5,0.002138162
AP3B1,0.99538603
F2RL2,7.37E-07
TBCA,0.716435529
BHMT2,2.74E-12
CRHBP,0.98959447
ARSB,0.001261753
F2RL1,0.002022517
WDR41,2.52E-06
SCAMP1,0.84227628
PDE8B,0.986862336
ZBED3,0.078436436
DMGDH,8.90E-17
AGGF1,6.10E-05
S100Z,0.009594703
SV2C,6.36E-05
OTP,0.848003249
ZFYVE16,1.30E-08
CMYA5,3.81E-43
FAM151B,8.21E-07
SSBP2,0.976772519
HOMER1,0.995922024
JMY,0.999722637
SPZ1,0.001510593
PAPD4,0.00095687
ACOT12,1.29E-11
ANKRD34B,2.53E-09
CKMT2,7.87E-10
MTX3,0.100351117
SERINC5,0.000839904
BHMT,0.000316952
RASGRF2,0.998743354
MSH3,4.57E-23
THBS4,1.74E-08
ZCCHC9,0.007473948
DHFR,0.276594318
CETN3,0.01132078
VCAN,0.999750598
ARRDC3,0.978746962
RASA1,0.999998286
MBLAC2,0.0002801
CCNH,0.004729763
ATG10,0.001685054
MEF2C,0.004246174
COX7C,0.545791853
TMEM161B,0.003685002
GPR98,8.11E-24
XRCC4,0.001250643
HAPLN1,0.260833365
RPS23,0.878578938
POLR3G,6.43E-05
EDIL3,4.09E-05
TMEM167A,0.388457895
LYSMD3,0.77181509
ATP6AP1L,0.139629451
GPR150,0.002247162
MCTP1,0.009889118
GLRX,0.000187399
KIAA0825,4.26E-07
ELL2,0.998288545
PCSK1,0.089639821
RHOBTB3,0.000533732
RFESD,0.000253688
TTC37,7.99E-20
ARSK,0.00461421
ERAP1,9.99E-18
FAM172A,0.018287109
ANKRD32,0.003641903
FAM81B,5.12E-06
CAST,1.56E-06
SPATA9,0.002189742
POU5F2,0.001008753
LNPEP,0.998308426
RGMB,0.060755423
RIOK2,0.001140112
LIX1,0.016674688
PPIP5K2,4.05E-10
ERAP2,3.18E-22
CTD-2215E18.1,2.44E-05
FBXL17,0.977900472
FAM174A,0.000618294
NUDT12,3.28E-11
ST8SIA4,0.675929296
EFNA5,0.889436552
FER,0.968420467
CHD1,0.999999999
C5orf30,0.778880852
SLCO6A1,2.71E-06
PAM,0.030444397
GIN1,0.006677682
SLCO4C1,1.37E-06
APC,0.999999928
SRP19,0.085267996
SLC25A46,0.001176117
EPB41L4A,1.99E-11
NREP,0.563643143
PJA2,0.466603862
ZRSR1,1.31E-05
REEP5,0.062887596
DCP2,0.856306645
MAN2A1,0.018644433
CAMK4,0.01582967
MCC,2.26E-08
TSSK1B,0.000465468
STARD4,2.96E-07
YTHDC2,0.999999572
TSLP,0.044788174
WDR36,0.544023667
AP3S1,0.001853724
CCDC112,0.821147626
CDO1,0.0200728
TNFAIP8,0.239737017
TMED7-TICAM2,0.004709637
COMMD10,7.84E-06
TRIM36,0.00067573
PRR16,0.526199282
PGGT1B,0.625204501
SEMA6A,0.999546537
FEM1C,0.624676085
DTWD2,2.16E-05
HSD17B4,1.82E-05
DMXL1,0.999998843
TICAM2,0.004709637
KCNN2,0.971048689
AQPEP,2.73E-09
ATG12,0.001658071
TMED7,0.363701355
CEP120,4.34E-11
C5orf48,0.005178781
SNX24,0.001392807
FTMT,0.081623987
GRAMD3,1.54E-07
ZNF474,5.66E-07
ALDH7A1,1.95E-12
LOX,0.979357774
SNCAIP,0.000362968
PHAX,0.002693196
ZNF608,0.999968158
LMNB1,0.952857388
SNX2,0.997941242
PPIC,0.000967993
MARCH3,0.636727871
CSNK1G3,0.996751666
MEGF10,0.994324945
SRFBP1,8.19E-05
SLC12A2,0.999438622
FBN2,0.999999992
PDLIM4,0.924088702
CTC-432M15.3,0.996763358
ACSL6,0.088562272
LYRM7,0.013501999
FNIP1,0.999819445
HINT1,0.084264497
ADAMTS19,0.951958941
CDC42SE2,0.753728627
CTXN3,0.544481268
SLC27A6,2.86E-09
CSF2,0.803849286
PRRC1,2.13E-05
CHSY3,0.011861287
P4HA2,6.46E-05
IL3,3.72E-09
RAPGEF6,0.998026273
ISOC1,0.005293034
C5orf56,0.107649238
RAD50,3.45E-15
LEAP2,0.007898378
CCNI2,4.53E-05
ZCCHC10,0.160801911
SHROOM1,0.009595549
IL4,0.168021415
HSPA4,0.999958226
KIF3A,0.992416128
SLC22A5,4.90E-09
IRF1,0.867788618
FSTL4,0.981626121
GDF9,1.19E-05
AFF4,0.999997451
IL13,0.025714691
IL5,0.028374415
SLC22A4,4.64E-06
SEPT8,0.954285718
UQCRQ,0.091912978
PHF15,0.999310487
UBE2B,0.320977559
SKP1,0.224830619
PITX1,0.273516401
TCF7,0.36155457
CDKL3,4.33E-07
PCBD2,0.003062596
CATSPER3,0.000487202
C5orf24,0.640813736
CAMLG,0.00402054
C5orf15,0.015999938
CTC-349C3.1,0.001115468
CDKN2AIPNL,0.058245191
DDX46,0.999997754
H2AFY,0.79508957
SAR1B,0.006300416
PPP2CA,0.985509348
TXNDC15,0.109182713
VDAC1,0.975595138
SEC24A,1.31E-05
MYOT,2.64E-05
SMAD5,0.986055593
KIF20A,1.92E-08
CXCL14,0.022786189
HNRNPA0,0.863701458
PKD2L2,3.50E-07
KLHL3,0.924154761
NEUROG1,5.14E-05
FAM13B,0.900071909
TIFAB,1.15E-06
TRPC7,0.002986152
IL9,0.00054088
C5orf20,0.002551184
SPOCK1,0.320886445
SLC25A48,0.391014478
BRD8,0.000590819
LECT2,0.005802494
WNT8A,0.875728926
TGFBI,0.00372244
NME5,0.570640716
SLC23A1,0.024322306
EGR1,0.674344947
HSPA9,0.981119322
CDC23,0.999307693
REEP2,0.876388829
TMEM173,0.032330621
DNAJC18,0.005469335
CTNNA1,0.97055429
KDM3B,0.999999999
PAIP2,0.79947261
GFRA3,0.029060962
MATR3,0.999818898
ETF1,0.998925127
CDC25C,3.01E-08
FAM53C,0.639249208
MZB1,0.003811455
SIL1,0.000933875
LRRTM2,0.923558762
CYSTM1,0.28430926
NDUFA2,0.339536516
UBE2D2,0.94531266
CXXC5,0.795355279
NRG2,0.995154288
IK,3.47E-06
PSD2,0.180222827
IGIP,0.419918844
APBB3,1.54E-05
PFDN1,0.805475103
SLC4A9,5.69E-18
EIF4EBP3,0.054243025
PURA,0.845099484
SRA1,5.00E-06
HBEGF,0.830814322
SLC35A4,0.000744269
ANKHD1-EIF4EBP3,1
ANKHD1,1
TMCO6,8.15E-06
CD14,6.69E-05
DND1,0.709666236
PCDHA9,7.89E-14
PCDHA12,3.52E-10
HARS,0.000736051
PCDHA10,4.18E-11
PCDHA6,6.16E-08
PCDHA1,0.000559475
PCDHA7,0.000137152
PCDHA11,3.59E-10
PCDHA3,1.46E-13
PCDHA8,3.70E-10
PCDHA4,2.88E-15
WDR55,1.48E-06
PCDHA13,4.29E-11
HARS2,8.13E-05
AC005609.1,0.033036349
PCDHAC1,4.58E-09
PCDHA2,1.99E-09
PCDHA5,0.003538248
ZMAT2,0.97143376
PCDHB13,1.69E-09
PCDHB7,1.30E-15
PCDHB8,4.80E-08
PCDHB6,0.001726641
PCDHB1,2.81E-08
PCDHB16,0.001770815
PCDHB17,0.030215662
PCDHB11,3.09E-07
PCDHB5,9.45E-07
PCDHB15,0.006800825
SLC25A2,0.036597354
PCDHGA1,0.000268174
PCDHB14,9.06E-09
PCDHB10,1.18E-06
PCDHB12,0.000155402
TAF7,0.736629404
PCDHAC2,0.916966112
PCDHGC4,0.936149575
PCDHGB7,0.016070626
PCDHGA6,8.20E-07
PCDHGC3,0.705736989
PCDHGA8,9.45E-09
PCDHGC5,2.85E-05
PCDHGA11,4.55E-05
PCDHGB6,6.47E-05
PCDHGA10,5.44E-06
PCDHGB2,3.54E-07
PCDHGA3,0.000592397
PCDHGA5,0.000468775
PCDHGA12,0.000727679
PCDHGA9,3.68E-05
PCDHGB1,0.168083945
PCDHGB4,0.002561316
PCDHGA7,5.28E-06
PCDHGB3,0.000624135
PCDHGA4,5.96E-07
PCDHGA2,8.23E-07
GNPDA1,0.003426356
PRELID2,1.73E-05
SH3RF2,1.79E-11
HDAC3,0.955038024
KCTD16,0.959972608
RELL2,0.800132421
PCDH12,1.29E-10
PCDH1,0.87319544
ARHGAP26,0.9988598
FCHSD1,1.92E-16
RNF14,0.00753477
DIAPH1,0.267109674
KIAA0141,3.06E-10
ARAP3,0.967505029
YIPF5,0.931585721
GRXCR2,1.75E-05
FGF1,0.320471736
NDFIP1,0.920196503
NR3C1,0.311618466
SPRY4,0.109919686
SPINK13,0.024356953
C5orf46,0.299424892
PLAC8L1,0.132377855
SPINK9,0.326828103
RBM27,0.999999942
POU4F3,0.721115139
GPR151,1.06E-05
TCERG1,0.999962712
DPYSL3,0.996483174
JAKMIP2,0.999936528
FBXO38,0.99996218
SCGB3A2,0.042427477
SPINK5,2.12E-17
SPINK6,2.42E-05
SPINK1,0.293111299
SPINK7,0.076116714
PPP2R2B,0.900682517
LARS,2.27E-05
SPINK14,0.016352158
STK32A,5.72E-05
SH3TC2,1.73E-12
PDE6A,6.61E-12
PCYOX1L,1.27E-05
CDX1,0.702597063
IL17B,0.002074284
SLC26A2,2.17E-05
ADRB2,0.476493104
HTR4,0.648787513
AFAP1L1,4.07E-08
GRPEL2,0.005754672
TIGD6,4.86E-06
CAMK2A,0.998004221
SLC6A7,7.15E-06
ABLIM3,0.016025349
CSNK1A1,0.99365723
CSF1R,0.993497648
PPARGC1B,0.934054614
PDGFRB,0.998643466
ARHGEF37,1.08E-13
SLC36A3,1.19E-06
SYNPO,0.980249085
AC010441.1,0.004612857
ZNF300,0.000952651
ARSI,1.05E-09
NDST1,0.998138372
GM2A,0.111186455
SLC36A2,1.41E-06
TNIP1,0.929689199
SMIM3,0.001492065
CCDC69,3.79E-08
RPS14,0.864815342
RBM22,0.995946456
TCOF1,0.765232863
MYOZ3,0.346673296
ANXA6,0.000183002
DCTN4,0.953389998
GPX3,0.015582637
CD74,0.050058058
ATOX1,0.177401579
HAND1,0.069599474
SGCD,0.0023391
FAXDC2,1.48E-06
MFAP3,0.008444779
SLC36A1,0.023472432
CNOT8,0.675125645
FAM114A2,3.08E-07
G3BP1,0.988390764
MRPL22,3.44E-07
NMUR2,0.421657261
SPARC,0.886494106
GLRA1,0.076492455
FAT2,7.35E-11
GEMIN5,3.13E-14
GALNT10,0.00044926
LARP1,0.999952189
GRIA1,0.999436341
KIF4B,3.11E-19
SAP30L,0.857185856
FAM71B,0.002329674
ADAM19,4.20E-06
LSM11,0.490844531
IL12B,0.000223246
HAVCR1,0.003054336
ADRA1B,0.182479135
THG1L,3.48E-05
UBLCP1,0.118128583
TIMD4,4.34E-08
CYFIP2,0.999998603
ITK,1.50E-05
SOX30,0.998986334
FNDC9,0.003993824
MED7,0.215739811
NIPAL4,0.000898829
HAVCR2,0.111384119
EBF1,0.996264497
RNF145,0.663621979
CLINT1,0.800888476
TENM2,0.99995109
NUDCD2,0.000812082
WWC1,0.018384506
HMMR,1.04E-14
TTC1,0.001851677
PTTG1,0.169726364
C1QTNF2,0.001358535
CCNG1,0.359162745
GABRA6,9.42E-08
GABRA1,0.963866035
RARS,0.00053365
FABP6,0.000205946
C5orf54,0.000364084
SLU7,0.000115176
GABRG2,0.958543398
PWWP2A,0.920215651
GABRB2,0.94029923
MAT2B,0.252497397
CCNJL,1.95E-05
ATP10B,1.34E-23
PANK3,0.000282413
STK10,1.50E-07
DOCK2,0.999999893
LCP2,0.98890038
NPM1,0.959043977
C5orf58,0.03894213
RANBP17,8.61E-36
FOXI1,0.109581473
KCNIP1,0.020231957
SLIT3,0.991788384
TLX3,0.302655051
GABRP,9.63E-06
SPDL1,8.72E-10
FGF18,0.175827312
FBXW11,0.997161484
KCNMB1,2.07E-05
NSG2,0.799823218
DRD1,0.89643155
SH3PXD2B,0.018536793
NEURL1B,0.370536573
BNIP1,0.001436928
MSX2,0.421492416
SFXN1,0.58517755
CPEB4,0.996854728
BOD1,0.031829615
RPL26L1,0.49226027
NKX2-5,0.858647741
HRH2,0.835273259
CREBRF,0.998406138
UBTD2,0.748758502
STC2,0.453518118
ATP6V0E1,0.277597261
ERGIC1,0.714836766
DUSP1,0.020500202
SNCB,0.198196528
TSPAN17,1.32E-05
UNC5A,0.996259997
UIMC1,0.032645863
FAF2,0.998046615
GPRIN1,0.787287342
CLTB,0.11549246
SIMC1,0.000207487
CPLX2,0.717836321
CDHR2,6.37E-10
KIAA1191,0.001560873
EIF4E1B,0.111053692
NOP16,0.145044757
HIGD2A,0.238671224
FAM153B,0.647490029
ARL10,4.90E-05
RNF44,0.567929658
HK3,1.16E-14
RAB24,0.725032093
TMED9,0.159567867
F12,3.46E-06
MXD3,0.001569929
DOK3,7.28E-05
PRR7,0.724989126
RGS14,0.023111552
SLC34A1,1.08E-15
PDLIM7,0.903030194
LMAN2,0.0500443
PRELID1,0.865363912
FGFR4,1.30E-06
FAM193B,0.923710453
PFN3,0.519957351
DBN1,0.962685619
NSD1,0.999999999
DDX41,0.00098438
GRK6,0.248841091
ZNF346,0.782525685
B4GALT7,0.003197496
ZNF354A,0.000195111
N4BP3,0.276863142
ZNF454,4.44E-05
COL23A1,9.57E-10
ZNF354C,0.000135489
ADAMTS2,0.992213475
RMND5B,6.92E-08
NHP2,0.034261685
RUFY1,0.064670215
PHYKPL,1.73E-10
ZFP2,5.62E-12
FAM153A,0.276667825
ZNF879,0.000705396
ZNF354B,1.96E-05
PROP1,0.299126611
FAM153C,0.848853442
GRM6,2.42E-09
CLK4,0.449835921
HNRNPAB,0.960162612
LTC4S,0.002169106
SCGB3A1,0.452637902
CANX,0.86247386
SQSTM1,0.003538991
CNOT6,0.478458001
FLT4,0.999936679
MAPK9,0.009564338
MAML1,0.998362056
RASGEF1C,0.0033181
TBC1D9B,1.49E-07
GFPT2,6.63E-07
OR2Y1,5.16E-07
HNRNPH1,0.999148294
C5orf45,3.29E-06
MGAT4B,0.813383751
MGAT1,0.690362903
RNF130,0.864935169
TRIM41,0.965388636
BTNL9,6.53E-10
TRIM7,0.065940078
TRIM52,8.08E-06
BTNL3,0.039637148
ZFP62,0.115212077
BTNL8,0.000235088
GNB2L1,0.994631521
OR2V2,0.225731244
OR2V1,1.74E-08
SERPINB1,0.020343016
BPHL,0.000194971
SERPINB6,0.035668799
MYLK4,1.66E-11
EXOC2,0.000114966
NQO2,1.27E-05
GMDS,0.997690129
IRF4,0.92222069
SERPINB9,0.004898534
C6orf195,0.003448527
RIPK1,0.4181774
DUSP22,0.004307071
HUS1B,0.008313233
WRNIP1,0.637334638
RREB1,0.999967928
F13A1,0.001027361
PXDC1,0.550017217
FAM217A,1.67E-06
NRN1,0.823897693
RPP40,0.002577208
PRPF4B,0.999999729
LY86,9.98E-06
SLC22A23,0.366550903
C6orf201,0.092248285
CAGE1,2.62E-06
FARS2,4.54E-06
SSR1,0.032289601
FAM50B,0.195542493
LYRM4,0.04025804
ECI2,3.84E-09
CDYL,0.946570708
TXNDC5,1.79E-06
SYCP2L,4.34E-11
SNRNP48,7.93E-05
BLOC1S5,1.60E-05
SLC35B3,0.000566464
GCM2,0.001401191
RIOK1,8.14E-07
PAK1IP1,0.368163912
DSP,0.999901543
ELOVL2,0.000198697
TMEM14B,6.48E-07
MAK,9.63E-11
TFAP2A,0.987223276
BMP6,0.895081718
EEF1E1,0.553269943
GCNT2,0.019397722
TMEM14C,0.121418784
GFOD1,0.04961907
RANBP9,0.999958496
PHACTR1,0.664117315
CD83,0.017780686
MYLIP,0.020226887
SIRT5,1.88E-05
HIVEP1,0.999986917
JARID2,0.999862193
DTNBP1,1.34E-06
AL583828.1,6.68E-05
TBC1D7,8.30E-06
ERVFRD-1,0.002428346
ADTRP,0.000702618
AL441883.1,0.008076217
NEDD9,0.534981125
MCUR1,0.001563031
TMEM170B,0.674229052
EDN1,0.081020067
RNF182,0.012068777
NOL7,0.010960121
GMPR,0.002525686
RBM24,0.196222354
RNF144B,0.027637716
SOX4,0.384005969
MBOAT1,8.84E-07
TPMT,7.57E-05
HDGFL1,0.313343421
DEK,0.102359187
ID4,0.149454866
ATXN1,0.398661149
KDM1B,0.815087937
NHLRC1,0.036006534
KIF13A,0.999958506
CDKAL1,0.577650481
PRL,0.002641102
E2F3,0.842457846
FAM8A1,0.170367796
NUP153,0.999994457
CAP2,0.410487088
KAAG1,0.019191239
LRRC16A,0.502318842
SLC17A3,9.88E-14
FAM65B,0.971310089
NRSN1,0.004307251
GMNN,0.607453615
KIAA0319,7.96E-12
GPLD1,5.64E-09
ALDH5A1,0.002904262
SLC17A1,2.59E-10
HIST1H2BA,0.132823726
HIST1H2AA,0.000860979
SLC17A4,6.33E-06
ACOT13,3.43E-05
C6orf62,0.946557424
MRS2,8.85E-05
SCGN,0.035946002
DCDC2,1.05E-05
TDP2,0.000137008
HIST1H2BD,0.000277979
HIST1H4A,0.002285403
SLC17A2,0.004669854
HIST1H4B,0.008541827
TRIM38,4.75E-06
HIST1H3C,0.215540519
HIST1H2BE,0.000307872
HIST1H2BB,0.130327871
HFE,8.50E-07
HIST1H1A,0.003530799
HIST1H2BC,0.002878012
HIST1H2AB,0.005319443
HIST1H4D,0.0022643
HIST1H2AC,0.599175549
HIST1H4C,8.86E-05
HIST1H3A,3.98E-05
HIST1H3B,0.307282993
HIST1H2BG,2.94E-06
BTN3A2,0.000124519
HIST1H2BH,0.00029573
BTN2A1,1.07E-18
HIST1H2AD,4.00E-05
HIST1H4G,0.002629997
HIST1H4F,0.181985151
HIST1H2AE,0.624123654
BTN3A1,8.65E-07
HIST1H2BI,0.138012142
HIST1H4H,0.008790329
BTN3A3,7.19E-10
BTN2A2,0.000150288
HIST1H4E,0.000642251
HIST1H3E,0.000813429
HIST1H2BF,0.00030002
HIST1H3F,0.042215362
HIST1H3G,1.71E-05
HIST1H3D,0.011195071
HIST1H4K,0.429118935
HMGN4,0.557082342
HIST1H2AI,0.581587114
PRSS16,2.24E-06
HIST1H4I,0.446296013
HIST1H2AG,0.000610464
HIST1H2BK,0.490754148
HIST1H2BJ,0.478842114
HIST1H2AH,6.30E-05
HIST1H2AJ,0.191197681
HIST1H2BM,0.002753464
ZNF184,0.133748636
ABT1,0.027105567
HIST1H4J,0.42375383
HIST1H2BL,0.002867554
HIST1H3H,0.024939156
BTN1A1,1.14E-09
ZNF391,9.26E-07
ZKSCAN3,0.000122608
ZSCAN16,2.67E-06
ZKSCAN4,6.74E-05
OR2B2,6.87E-05
ZSCAN9,4.10E-08
HIST1H2AL,0.062486916
HIST1H4L,0.191234624
HIST1H2BN,0.139774615
ZSCAN31,3.77E-09
NKAPL,0.000165621
HIST1H2BO,3.07E-05
ZNF165,0.000563292
HIST1H2AK,0.068428502
PGBD1,1.47E-05
HIST1H3J,0.695883937
HIST1H2AM,0.000856482
ZKSCAN8,0.000231595
OR2B6,0.040730928
HIST1H3I,0.360879945
HIST1H1B,0.509138756
ZSCAN12,1.44E-05
OR10C1,0.227592079
OR2B3,0.001336932
OR12D2,0.601033125
SCAND3,9.71E-09
OR2J2,0.010726719
GPX6,3.14E-05
OR12D3,1.34E-05
GPX5,0.008884677
ZNF311,0.000129446
OR2H1,0.044904061
OR2W1,0.086561891
OR11A1,0.043484403
OR14J1,8.02E-08
TRIM27,0.878751858
OR2J1,0.017494502
OR5V1,0.003442619
ZSCAN23,0.002702951
OR2J3,0.028143501
HLA-E,0.347084032
ZFP57,0.001815937
UBD,0.079895751
RPP21,0.082453977
GABBR1,0.999969901
HLA-G,9.55E-08
HLA-F,4.40E-05
HLA-A,0.132779665
RNF39,0.006661207
OR2H2,0.089945925
TRIM40,1.53E-07
TRIM15,2.18E-11
TRIM31,0.016388134
PPP1R11,0.78308701
ZNRD1,0.14486273
TRIM10,9.95E-06
TRIM26,0.829653548
MAS1L,0.000466206
